#F f1f2_Chantler.dat
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#C  This file has been created using extract_Chantler-NIST-FFAST.pl on Mon Jun 28 17:10:31 2021
#C  It is a part of X-ray Server, https://x-server.gmca.aps.anl.gov
#UD 
#UD The scattering values in this file have been obtained from:
#UD https://github.com/usnistgov/FFAST.jl/tree/master/data/mac[NN].csv
#UD and a WWW interface to these data is at:
#UD https://physics.nist.gov/PhysRefData/FFast/html/form.html
#UD 
#UD Reference
#UD   [1] C.T. Chantler, J. Phys. Chem. Ref. Data 29(4), 597-1048 (2000).
#UD   "Detailed Tabulation of Atomic Form Factors, Photoelectric Absorption
#UD   and Scattering Cross Section, and Mass Attenuation Coefficients in the
#UD   Vicinity of Absorption Edges in the Soft X-Ray (Z = 30-36, Z = 60-89,
#UD   E = 0.1 keV-10 keV), Addressing Convergence Issues of Earlier Work."
#UD   
#UD   [2] C.T. Chantler, J. Phys. Chem. Ref. Data 24, 71 (1995). 
#UD   "Theoretical Form Factor, Attenuation and Scattering Tabulation for 
#UD   Z=1-92 from E=1-10 eV to E=0.4-1.0 MeV."
#S 1  H
#UB -0.9999
#UF1ADD 0.0
#L PhotonEnergy[eV]  f1  f2
#UO  H, Z=1, (Energy (eV),f1,f2)
     10.69000   0.454682        -0.9999      
     11.42761   0.39717         -0.9999      
     12.21612   0.299485        -0.9999      
     13.05903   0.0685829       -0.9999      
     13.32800   0.117232        -0.9999      
     13.53200   0.516414        -0.9999      
     13.58640   0.998811        -0.9999      
     13.66800   0.492163        0.95197      
     13.87200   0.0462805       0.9303       
     13.96010   0.0468513       0.92117      
     14.92335   0.491043        0.8297       
     15.95306   0.684358        0.7464       
     17.05382   0.803468        0.67066      
     18.23053   0.88464         0.60188      
     19.48844   0.942415        0.53953      
     20.83314   0.984335        0.48306      
     22.27063   1.01491         0.43201      
     23.80730   1.0371          0.38592      
     25.45001   1.05295         0.34435      
     27.20606   1.06395         0.30692      
     29.08327   1.07121         0.27325      
     31.09002   1.07558         0.24301      
     33.23523   1.07772         0.21589      
     35.52846   1.07815         0.19159      
     37.97993   1.07727         0.16984      
     40.60054   1.07541         0.15041      
     43.40198   1.07283         0.13306      
     46.39671   1.06974         0.1176       
     49.59809   1.0663          0.10383      
     53.02035   1.06265         0.091576     
     56.67876   1.05889         0.080693     
     60.58959   1.0551          0.071034     
     64.77028   1.05134         0.062473     
     69.23942   1.04767         0.054891     
     74.01695   1.04411         0.048185     
     79.12411   1.0407          0.04226      
     84.58368   1.03745         0.03703      
     90.41995   1.03437         0.032418     
     96.65893   1.03147         0.028356     
    103.32840   1.02876         0.024781     
    110.45810   1.02622         0.021639     
    118.07970   1.02387         0.018879     
    126.22720   1.02169         0.016458     
    134.93680   1.01968         0.014336     
    144.24750   1.01782         0.012477     
    154.20050   1.01612         0.010851     
    164.84040   1.01456         0.0094291    
    176.21440   1.01313         0.0081876    
    188.37320   1.01183         0.0071041    
    201.37090   1.01065         0.0061595    
    215.26550   1.00957         0.0053367    
    230.11880   1.00859         0.0046205    
    245.99700   1.00771         0.0039976    
    262.97080   1.00691         0.0034563    
    281.11580   1.00618         0.0029863    
    300.51280   1.00553         0.0025785    
    321.24820   1.00494         0.0022249    
    343.41430   1.00441         0.0019186    
    367.10990   1.00394         0.0016535    
    392.44050   1.00351         0.0014241    
    419.51890   1.00313         0.0012258    
    448.46570   1.00279         0.0010545    
    479.40980   1.00248         0.00090664   
    512.48910   1.0022          0.00077906   
    547.85080   1.00196         0.00066907   
    585.65250   1.00174         0.0005743    
    626.06250   1.00154         0.0004927    
    669.26090   1.00137         0.00042248   
    715.43990   1.00121         0.00036208   
    764.80520   1.00108         0.00031017   
    817.57680   1.00095         0.00026558   
    873.98960   1.00084         0.0002273    
    934.29480   1.00075         0.00019444   
    998.76120   1.00066         0.00016627   
   1067.67600   1.00058         0.00014211   
   1141.34500   1.00052         0.00012142   
   1220.09800   1.00046         0.0001037    
   1304.28500   1.0004          8.8528e-05   
   1394.28100   1.00036         7.555e-05    
   1490.48600   1.00031         6.4451e-05   
   1593.32900   1.00028         5.4965e-05   
   1703.26900   1.00024         4.6859e-05   
   1820.79500   1.00022         3.9935e-05   
   1946.43000   1.00019         3.4025e-05   
   2080.73300   1.00017         2.898e-05    
   2224.30400   1.00015         2.4677e-05   
   2377.78100   1.00013         2.1007e-05   
   2541.84800   1.00011         1.7878e-05   
   2717.23500   1.0001          1.5211e-05   
   2904.72400   1.00009         1.294e-05    
   3105.15000   1.00008         1.1005e-05   
   3319.40600   1.00007         9.3572e-06   
   3548.44500   1.00006         7.9549e-06   
   3793.28800   1.00005         6.7615e-06   
   4055.02400   1.00005         5.7461e-06   
   4334.82100   1.00004         4.8825e-06   
   4633.92400   1.00004         4.1481e-06   
   4953.66400   1.00003         3.5237e-06   
   5295.46700   1.00003         2.993e-06    
   5660.85500   1.00002         2.5419e-06   
   6051.45300   1.00002         2.1586e-06   
   6469.00400   1.00002         1.833e-06    
   6915.36500   1.00002         1.5564e-06   
   7392.52500   1.00001         1.3214e-06   
   7902.60900   1.00001         1.1219e-06   
   8447.89000   1.00001         9.5248e-07   
   9030.79400   1.00001         8.0863e-07   
   9653.91900   1.00001         6.8651e-07   
  10320.04000   1.00001         5.8283e-07   
  11032.12000   1.00001         4.9482e-07   
  11793.34000   1.00001         4.2012e-07   
  12607.08000   1.00001         3.5671e-07   
  13476.97000   1               3.0289e-07   
  14406.88000   1               2.5721e-07   
  15400.95000   1               2.1844e-07   
  16463.62000   1               1.8553e-07   
  17599.61000   1               1.576e-07    
  18813.98000   1               1.3389e-07   
  20112.15000   1               1.1376e-07   
  21499.88000   1               9.6669e-08   
  22983.38000   1               8.2161e-08   
  24569.23000   1               6.9843e-08   
  26264.50000   1               5.9383e-08   
  28076.76000   1               5.0499e-08   
  30014.05000   1               4.2954e-08   
  32085.02000   1               3.6544e-08   
  34298.89000   1               3.1098e-08   
  36665.51000   1               2.6471e-08   
  39195.43000   1               2.2537e-08   
  41899.92000   1               1.9194e-08   
  44791.01000   1               1.6351e-08   
  47881.59000   1               1.3934e-08   
  51185.42000   1               1.1877e-08   
  54717.21000   1               1.0128e-08   
  58492.70000   1               8.639e-09    
  62528.70000   1               7.3715e-09   
  66843.18000   1               6.2923e-09   
  71455.36000   1               5.3732e-09   
  76385.78000   1               4.5901e-09   
  81656.40000   1               3.9227e-09   
  87290.69000   1               3.3537e-09   
  93313.74000   1               2.8685e-09   
  99752.39000   1               2.4545e-09   
 106635.30000   1               2.1013e-09   
 113993.10000   1               1.7997e-09   
 121858.70000   1               1.5422e-09   
 130266.90000   1               1.3221e-09   
 139255.30000   1               1.1341e-09   
 148864.00000   1               9.7323e-10   
 159135.60000   1               8.3566e-10   
 170115.90000   1               7.1792e-10   
 181853.90000   1               6.1711e-10   
 194401.80000   1               5.3076e-10   
 207815.60000   1               4.5676e-10   
 222154.80000   1               3.9331e-10   
 237483.50000   1               3.3887e-10   
 253869.90000   1               2.9216e-10   
 271386.90000   1               2.5204e-10   
 290112.60000   1               2.1757e-10   
 310130.40000   1               1.8793e-10   
 331529.40000   1               1.6245e-10   
 354404.90000   1               1.4051e-10   
 378858.80000   1               1.2162e-10   
 405000.10000   1               1.0534e-10   
 432945.10000   1               9.1313e-11   
#S 2  He
#UB -0.9999
#UF1ADD 0.0
#L PhotonEnergy[eV]  f1  f2
#UO  He, Z=2, (Energy (eV),f1,f2)
     10.69000   0.809152        -0.9999      
     11.42761   0.794174        -0.9999      
     12.21612   0.776288        -0.9999      
     13.05903   0.754752        -0.9999      
     13.96010   0.728554        -0.9999      
     14.92335   0.69627         -0.9999      
     15.95306   0.655815        -0.9999      
     17.05382   0.603976        -0.9999      
     18.23053   0.535466        -0.9999      
     19.48844   0.440723        -0.9999      
     20.83314   0.299815        -0.9999      
     22.27063   0.0595946       -0.9999      
     23.80730   0.537052        -0.9999      
     24.10800   0.818127        -0.9999      
     24.47700   1.66675         -0.9999      
     24.57540   2.67916         -0.9999      
     24.72300   1.63405         1.9911       
     25.09200   0.718902        1.9648       
     25.45001   0.346603        1.9399       
     27.20606   0.444157        1.8248       
     29.08327   0.835659        1.7138       
     31.09002   1.09847         1.6069       
     33.23523   1.29391         1.5043       
     35.52846   1.44669         1.406        
     37.97993   1.56954         1.312        
     40.60054   1.66999         1.2223       
     43.40198   1.75296         1.1369       
     46.39671   1.82186         1.0558       
     49.59809   1.87923         0.97893      
     53.02035   1.92697         0.90618      
     56.67876   1.9666          0.83748      
     60.58959   1.99934         0.77275      
     64.77028   2.02621         0.71188      
     69.23942   2.04803         0.65476      
     74.01695   2.06555         0.60124      
     79.12411   2.07934         0.55122      
     84.58368   2.08994         0.50455      
     90.41995   2.09782         0.46109      
     96.65893   2.10336         0.42069      
    103.32840   2.10693         0.38322      
    110.45810   2.10882         0.34853      
    118.07970   2.1093          0.31646      
    126.22720   2.10861         0.28689      
    134.93680   2.10695         0.25966      
    144.24750   2.10451         0.23464      
    154.20050   2.10143         0.21169      
    164.84040   2.09787         0.19068      
    176.21440   2.09393         0.17148      
    188.37320   2.08972         0.15396      
    201.37090   2.08533         0.13801      
    215.26550   2.08083         0.12352      
    230.11880   2.07628         0.11037      
    245.99700   2.07175         0.098459     
    262.97080   2.06727         0.087695     
    281.11580   2.06289         0.077982     
    300.51280   2.05862         0.069233     
    321.24820   2.0545          0.061368     
    343.41430   2.05053         0.054308     
    367.10990   2.04675         0.047984     
    392.44050   2.04315         0.042328     
    419.51890   2.03973         0.037279     
    448.46570   2.03651         0.032779     
    479.40980   2.03349         0.028776     
    512.48910   2.03065         0.025222     
    547.85080   2.028           0.022071     
    585.65250   2.02553         0.019283     
    626.06250   2.02324         0.016819     
    669.26090   2.02112         0.014647     
    715.43990   2.01917         0.012735     
    764.80520   2.01736         0.011055     
    817.57680   2.0157          0.0095814    
    873.98960   2.01418         0.0082906    
    934.29480   2.01279         0.0071622    
    998.76120   2.01152         0.0061775    
   1067.67600   2.01036         0.0053       
   1141.34500   2.00929         0.0045425    
   1220.09800   2.00833         0.0038898    
   1304.28500   2.00745         0.003328     
   1394.28100   2.00665         0.0028448    
   1490.48600   2.00594         0.0024298    
   1593.32900   2.00529         0.0020737    
   1703.26900   2.00471         0.0017684    
   1820.79500   2.00419         0.0015069    
   1946.43000   2.00373         0.0012832    
   2080.73300   2.00331         0.0010919    
   2224.30400   2.00294         0.00092851   
   2377.78100   2.0026          0.00078905   
   2541.84800   2.00231         0.00067012   
   2717.23500   2.00204         0.00056878   
   2904.72400   2.00181         0.00048249   
   3105.15000   2.0016          0.00040907   
   3319.40600   2.00141         0.00034664   
   3548.44500   2.00125         0.0002936    
   3793.28800   2.0011          0.00024855   
   4055.02400   2.00097         0.00021033   
   4334.82100   2.00086         0.00017791   
   4633.92400   2.00076         0.00015043   
   4953.66400   2.00067         0.00012714   
   5295.46700   2.00059         0.00010743   
   5660.85500   2.00052         9.074e-05    
   6051.45300   2.00046         7.6624e-05   
   6469.00400   2.0004          6.4687e-05   
   6915.36500   2.00035         5.4596e-05   
   7392.52500   2.00031         4.607e-05    
   7902.60900   2.00027         3.8868e-05   
   8447.89000   2.00024         3.2787e-05   
   9030.79400   2.00021         2.7654e-05   
   9653.91900   2.00019         2.3322e-05   
  10320.04000   2.00016         1.9667e-05   
  11032.12000   2.00014         1.6584e-05   
  11793.34000   2.00013         1.3984e-05   
  12607.08000   2.00011         1.1791e-05   
  13476.97000   2.0001          9.9427e-06   
  14406.88000   2.00009         8.3843e-06   
  15400.95000   2.00007         7.0708e-06   
  16463.62000   2.00007         5.9636e-06   
  17599.61000   2.00006         5.0304e-06   
  18813.98000   2.00005         4.2439e-06   
  20112.15000   2.00004         3.581e-06    
  21499.88000   2.00004         3.0223e-06   
  22983.38000   2.00003         2.5513e-06   
  24569.23000   2.00003         2.1543e-06   
  26264.50000   2.00003         1.8195e-06   
  28076.76000   2.00002         1.5373e-06   
  30014.05000   2.00002         1.2992e-06   
  32085.02000   2.00002         1.0984e-06   
  34298.89000   2.00002         9.2904e-07   
  36665.51000   2.00001         7.8609e-07   
  39195.43000   2.00001         6.6542e-07   
  41899.92000   2.00001         5.6354e-07   
  44791.01000   2.00001         4.7748e-07   
  47881.59000   2.00001         4.0478e-07   
  51185.42000   2.00001         3.4333e-07   
  54717.21000   2.00001         2.9137e-07   
  58492.70000   2.00001         2.4742e-07   
  62528.70000   2               2.1023e-07   
  66843.18000   2               1.7875e-07   
  71455.36000   2               1.5208e-07   
  76385.78000   2               1.2948e-07   
  81656.40000   2               1.1032e-07   
  87290.69000   2               9.4059e-08   
  93313.74000   2               8.026e-08    
  99752.39000   2               6.854e-08    
 106635.30000   2               5.8579e-08   
 113993.10000   2               5.0108e-08   
 121858.70000   2               4.29e-08     
 130266.90000   2               3.6762e-08   
 139255.30000   2               3.1531e-08   
 148864.00000   2               2.707e-08    
 159135.60000   2               2.3263e-08   
 170115.90000   2               2.0011e-08   
 181853.90000   2               1.7232e-08   
 194401.80000   2               1.4854e-08   
 207815.60000   2               1.2818e-08   
 222154.80000   2               1.1073e-08   
 237483.50000   2               9.5771e-09   
 253869.90000   2               8.2925e-09   
 271386.90000   2               7.1887e-09   
 290112.60000   2               6.2394e-09   
 310130.40000   2               5.4221e-09   
 331529.40000   2               4.7179e-09   
 354404.90000   2               4.1103e-09   
 378858.80000   2               3.5857e-09   
 405000.10000   2               3.1323e-09   
 432945.10000   2               2.7399e-09   
#S 3  Li
#UB -0.9999
#UF1ADD 0.0
#L PhotonEnergy[eV]  f1  f2
#UO  Li, Z=3, (Energy (eV),f1,f2)
      5.23320   0.908733        -0.9999      
      5.31330   0.859283        -0.9999      
      5.33466   0.803599        -0.9999      
      5.36670   0.856971        0.10769      
      5.44680   0.901968        0.10987      
     10.69000   1.0766          0.17745      
     11.42761   1.08752         0.17721      
     12.21612   1.09737         0.17581      
     13.05903   1.10595         0.17335      
     13.96010   1.11307         0.16997      
     14.92335   1.11854         0.16578      
     15.95306   1.12215         0.16092      
     17.05382   1.12376         0.15551      
     18.23053   1.12305         0.14967      
     19.48844   1.1198          0.1435       
     20.83314   1.1137          0.13711      
     22.27063   1.10441         0.13057      
     23.80730   1.0914          0.12391      
     25.45001   1.07404         0.11721      
     27.20606   1.05151         0.11056      
     29.08327   1.02273         0.10401      
     31.09002   0.986239        0.097625     
     33.23523   0.939944        0.091431     
     35.52846   0.880803        0.085462     
     37.97993   0.804138        0.079741     
     40.60054   0.702294        0.07428      
     43.40198   0.561559        0.069091     
     46.39671   0.35373         0.064175     
     49.59809   0.00488984      0.059534     
     53.02035   0.835477        0.055164     
     53.65500   1.19807         0.054412     
     54.47625   2.31019         0.053466     
     54.69525   3.60723         0.053218     
     55.02375   2.31071         2.5879       
     55.84500   1.18751         2.5985       
     56.67876   0.72105         2.6092       
     60.58959   0.250867        2.6581       
     64.77028   0.817156        2.6783       
     69.23942   1.26129         2.6515       
     74.01695   1.63438         2.5848       
     79.12411   1.95333         2.4858       
     84.58368   2.22569         2.3627       
     90.41995   2.4562          2.2228       
     96.65893   2.64887         2.0728       
    103.32840   2.80757         1.9181       
    110.45810   2.93608         1.7633       
    118.07970   3.03823         1.612        
    126.22720   3.11772         1.4666       
    134.93680   3.17802         1.329        
    144.24750   3.22227         1.2001       
    154.20050   3.25329         1.0806       
    164.84040   3.27358         0.97059      
    176.21440   3.28517         0.86995      
    188.37320   3.2899          0.77835      
    201.37090   3.28929         0.69532      
    215.26550   3.28462         0.62031      
    230.11880   3.27691         0.55269      
    245.99700   3.26695         0.4918       
    262.97080   3.25537         0.43709      
    281.11580   3.24269         0.38805      
    300.51280   3.22935         0.34415      
    321.24820   3.21568         0.30493      
    343.41430   3.20197         0.26993      
    367.10990   3.18842         0.23873      
    392.44050   3.17518         0.21095      
    419.51890   3.16239         0.18625      
    448.46570   3.15011         0.1643       
    479.40980   3.13842         0.14482      
    512.48910   3.12734         0.12754      
    547.85080   3.1169          0.11224      
    585.65250   3.10711         0.098699     
    626.06250   3.09796         0.086728     
    669.26090   3.08945         0.076155     
    715.43990   3.08155         0.066826     
    764.80520   3.07424         0.058603     
    817.57680   3.06751         0.051362     
    873.98960   3.06132         0.04499      
    934.29480   3.05566         0.03939      
    998.76120   3.05049         0.034471     
   1067.67600   3.04576         0.029934     
   1141.34500   3.04136         0.025916     
   1220.09800   3.03729         0.022438     
   1304.28500   3.03355         0.019426     
   1394.28100   3.03015         0.016819     
   1490.48600   3.02705         0.014561     
   1593.32900   3.02425         0.012607     
   1703.26900   3.02172         0.010915     
   1820.79500   3.01943         0.0094497    
   1946.43000   3.01738         0.0081814    
   2080.73300   3.01553         0.0070833    
   2224.30400   3.01387         0.0061326    
   2377.78100   3.01238         0.0053094    
   2541.84800   3.01105         0.0045965    
   2717.23500   3.00986         0.0039792    
   2904.72400   3.00881         0.0034448    
   3105.15000   3.00786         0.0029684    
   3319.40600   3.00699         0.0025468    
   3548.44500   3.00621         0.0021851    
   3793.28800   3.00552         0.0018748    
   4055.02400   3.0049          0.0016085    
   4334.82100   3.00435         0.0013801    
   4633.92400   3.00385         0.0011841    
   4953.66400   3.00341         0.0010159    
   5295.46700   3.00302         0.00087162   
   5660.85500   3.00268         0.00074783   
   6051.45300   3.00237         0.00064162   
   6469.00400   3.0021          0.0005505    
   6915.36500   3.00186         0.00047232   
   7392.52500   3.00164         0.00040524   
   7902.60900   3.00145         0.00034768   
   8447.89000   3.00128         0.00029831   
   9030.79400   3.00113         0.00025574   
   9653.91900   3.001           0.00021863   
  10320.04000   3.00088         0.00018691   
  11032.12000   3.00078         0.00015979   
  11793.34000   3.00069         0.00013661   
  12607.08000   3.00061         0.00011679   
  13476.97000   3.00053         9.9841e-05   
  14406.88000   3.00047         8.5355e-05   
  15400.95000   3.00042         7.2971e-05   
  16463.62000   3.00037         6.2383e-05   
  17599.61000   3.00032         5.3332e-05   
  18813.98000   3.00028         4.5594e-05   
  20112.15000   3.00025         3.8979e-05   
  21499.88000   3.00022         3.3323e-05   
  22983.38000   3.00019         2.8488e-05   
  24569.23000   3.00017         2.4355e-05   
  26264.50000   3.00015         2.0857e-05   
